group;ISOweek;observed;delaycorrected;N
00to01;2017-W29;10;10;123831.571428571
00to01;2017-W30;7;7;123822.714285714
00to01;2017-W31;9;9;123919
00to01;2017-W32;15;15;123894.571428571
00to01;2017-W33;15;15;123925.857142857
00to01;2017-W34;12;12;123935.714285714
00to01;2017-W35;11;11;124010.142857143
00to01;2017-W36;7;7;124047.142857143
00to01;2017-W37;4;4;124041.142857143
00to01;2017-W38;15;15;124038.857142857
00to01;2017-W39;19;19;124133.428571429
00to01;2017-W40;7;7;124206.285714286
00to01;2017-W41;9;9;124291.285714286
00to01;2017-W42;10;10;124291.142857143
00to01;2017-W43;7;7;124311.142857143
00to01;2017-W44;14;14;124321.142857143
00to01;2017-W45;9;9;124296.571428571
00to01;2017-W46;10;10;124351.714285714
00to01;2017-W47;8;8;124365.571428571
00to01;2017-W48;8;8;124428.714285714
00to01;2017-W49;11;11;124429.857142857
00to01;2017-W50;15;15;124473.857142857
00to01;2017-W51;7;7;124572
00to01;2017-W52;8;8;124616.428571429
00to01;2018-W01;10;10;124647.857142857
00to01;2018-W02;11;11;124682.857142857
00to01;2018-W03;9;9;124843.142857143
00to01;2018-W04;15;15;124915.285714286
00to01;2018-W05;11;11;124872.142857143
00to01;2018-W06;8;8;124808.857142857
00to01;2018-W07;12;12;124801.857142857
00to01;2018-W08;13;13;124803.571428571
00to01;2018-W09;7;7;124894.142857143
00to01;2018-W10;3;3;124935
00to01;2018-W11;11;11;124889.285714286
00to01;2018-W12;7;7;124905
00to01;2018-W13;8;8;124996.857142857
00to01;2018-W14;15;15;124923.285714286
00to01;2018-W15;13;13;124933.428571429
00to01;2018-W16;12;12;124990.428571429
00to01;2018-W17;10;10;125058.428571429
00to01;2018-W18;11;11;125101.857142857
00to01;2018-W19;5;5;125110.571428571
00to01;2018-W20;8;8;125047.285714286
00to01;2018-W21;5;5;125054
00to01;2018-W22;17;17;125157.285714286
00to01;2018-W23;10;10;125219.285714286
00to01;2018-W24;9;9;125317.142857143
00to01;2018-W25;6;6;125357.285714286
00to01;2018-W26;7;7;125356.285714286
00to01;2018-W27;13;13;125296.857142857
00to01;2018-W28;8;8;125307.285714286
00to01;2018-W29;4;4;125259.714285714
00to01;2018-W30;7;7;125188
00to01;2018-W31;4;4;125160.714285714
00to01;2018-W32;9;9;125094.142857143
00to01;2018-W33;8;8;125010.142857143
00to01;2018-W34;12;12;124937.857142857
00to01;2018-W35;10;10;124850.857142857
00to01;2018-W36;9;9;124733.142857143
00to01;2018-W37;8;8;124696.142857143
00to01;2018-W38;10;10;124610.285714286
00to01;2018-W39;8;8;124556.285714286
00to01;2018-W40;14;14;124510.428571429
00to01;2018-W41;10;10;124410
00to01;2018-W42;10;10;124359.714285714
00to01;2018-W43;11;11;124301.857142857
00to01;2018-W44;7;7;124295.857142857
00to01;2018-W45;9;9;124243.428571429
00to01;2018-W46;5;5;124196
00to01;2018-W47;11;11;124162.142857143
00to01;2018-W48;9;9;124141.714285714
00to01;2018-W49;5;5;124082.714285714
00to01;2018-W50;9;9;124122.142857143
00to01;2018-W51;11;11;124159.428571429
00to01;2018-W52;5;5;124189
00to01;2019-W01;5;5;124135
00to01;2019-W02;10;10;124113.142857143
00to01;2019-W03;8;8;124078.428571429
00to01;2019-W04;10;10;124103.142857143
00to01;2019-W05;6;6;124139.714285714
00to01;2019-W06;4;4;124052.857142857
00to01;2019-W07;8;8;123997.142857143
00to01;2019-W08;7;7;123903.428571429
00to01;2019-W09;6;6;123895.428571429
00to01;2019-W10;8;8;123922.285714286
00to01;2019-W11;10;10;123886.142857143
00to01;2019-W12;6;6;123857.714285714
00to01;2019-W13;14;14;123877.285714286
00to01;2019-W14;10;10;123906.714285714
00to01;2019-W15;9;9;123931.285714286
00to01;2019-W16;6;6;123946.714285714
00to01;2019-W17;10;10;123940
00to01;2019-W18;11;11;123972
00to01;2019-W19;7;7;123939.714285714
00to01;2019-W20;10;10;123894.714285714
00to01;2019-W21;11;11;123809.285714286
00to01;2019-W22;9;9;123807.428571429
00to01;2019-W23;11;11;123853.714285714
00to01;2019-W24;7;7;123895.142857143
00to01;2019-W25;8;8;123918.142857143
00to01;2019-W26;13;13;123940.285714286
00to01;2019-W27;11;11;123992.285714286
00to01;2019-W28;12;12;123963.428571429
00to01;2019-W29;7;7;124049.142857143
00to01;2019-W30;16;16;124136.142857143
00to01;2019-W31;15;15;124171.571428571
00to01;2019-W32;11;11;124167.714285714
00to01;2019-W33;8;8;124150.428571429
00to01;2019-W34;9;9;124189.428571429
00to01;2019-W35;8;8;124295
00to01;2019-W36;9;9;124267.714285714
00to01;2019-W37;9;9;124261.857142857
00to01;2019-W38;13;13;124316
00to01;2019-W39;5;5;124314.857142857
00to01;2019-W40;6;6;124335.714285714
00to01;2019-W41;8;8;124253.857142857
00to01;2019-W42;10;10;124228
00to01;2019-W43;7;7;124166.428571429
00to01;2019-W44;7;7;124169.285714286
00to01;2019-W45;9;9;124131.571428571
00to01;2019-W46;10;10;124093
00to01;2019-W47;8;8;124077.857142857
00to01;2019-W48;11;11;124064.857142857
00to01;2019-W49;12;12;124018.428571429
00to01;2019-W50;7;7;123979.285714286
00to01;2019-W51;7;7;123940.571428571
00to01;2019-W52;10;10;123785.857142857
00to01;2020-W01;10;10;123683
00to01;2020-W02;7;7;123706.714285714
00to01;2020-W03;4;4;123671.428571429
00to01;2020-W04;17;17;123545.571428571
00to01;2020-W05;15;15;123549.714285714
00to01;2020-W06;9;9;123565.142857143
00to01;2020-W07;5;5;123640.714285714
00to01;2020-W08;7;7;123642.285714286
00to01;2020-W09;10;10;123598.142857143
00to01;2020-W10;9;9;123522
00to01;2020-W11;12;12;123562.142857143
00to01;2020-W12;6;6;123530.571428571
00to01;2020-W13;9;9;123431
00to01;2020-W14;12;12;123420.142857143
00to01;2020-W15;8;8;123322.571428571
00to01;2020-W16;9;9;123317.428571429
00to01;2020-W17;12;12;123252.571428571
00to01;2020-W18;12;12;123256
00to01;2020-W19;9;9;123199
00to01;2020-W20;11;11;123164.714285714
00to01;2020-W21;4;4;123118.285714286
00to01;2020-W22;6;6;123053.285714286
00to01;2020-W23;8;8;122991.571428571
00to01;2020-W24;11;11;122937.857142857
00to01;2020-W25;8;8;122987.857142857
00to01;2020-W26;11;11;123022.714285714
00to01;2020-W27;12;12;123090
00to01;2020-W28;5;5;123066.142857143
00to01;2020-W29;8;8;123021.571428571
00to01;2020-W30;15;15;123025.428571429
00to01;2020-W31;10;10;123020.857142857
00to01;2020-W32;7;7;122986.428571429
00to01;2020-W33;10;10;123122
00to01;2020-W34;11;11;123231.571428571
00to01;2020-W35;14;14;123259.428571429
00to01;2020-W36;10;10;123243.142857143
00to01;2020-W37;10;10;123177.571428571
00to01;2020-W38;8;8;123183.285714286
00to01;2020-W39;6;6;123152.428571429
00to01;2020-W40;12;12;123194.571428571
00to01;2020-W41;6;6;123238
00to01;2020-W42;8;8;123255.428571429
00to01;2020-W43;11;11;123228.714285714
00to01;2020-W44;7;7;123209.857142857
00to01;2020-W45;15;15;123122.428571429
00to01;2020-W46;9;9;123133.428571429
00to01;2020-W47;8;8;123132.142857143
00to01;2020-W48;4;4;123164.142857143
00to01;2020-W49;7;7;123221.285714286
00to01;2020-W50;5;5;123174.714285714
00to01;2020-W51;9;9;123152.285714286
00to01;2020-W52;6;6;123100.571428571
00to01;2020-W53;6;6;123003.285714286
00to01;2021-W01;12;12;123019.714285714
00to01;2021-W02;9;9;123019.285714286
00to01;2021-W03;7;7;123068.428571429
00to01;2021-W04;10;10;123132.428571429
00to01;2021-W05;13;13;123198.714285714
00to01;2021-W06;6;6;123219.285714286
00to01;2021-W07;6;6;123312.714285714
00to01;2021-W08;8;8;123431.285714286
00to01;2021-W09;16;16;123510.571428571
00to01;2021-W10;10;10;123629.857142857
00to01;2021-W11;7;7;123760.142857143
00to01;2021-W12;10;10;123847.285714286
00to01;2021-W13;9;9;123864.285714286
00to01;2021-W14;13;13;123802.857142857
00to01;2021-W15;12;12;123827.285714286
00to01;2021-W16;9;9;123911.285714286
00to01;2021-W17;14;14;123950.428571429
00to01;2021-W18;9;9;124029.428571429
00to01;2021-W19;12;12;124065.714285714
00to01;2021-W20;10;10;124153.142857143
00to01;2021-W21;6;6;124151.142857143
00to01;2021-W22;5;5;124097
00to01;2021-W23;7;7;123982.142857143
00to01;2021-W24;10;10;123991.428571429
00to01;2021-W25;6;6;124028.285714286
00to01;2021-W26;14;14;124116
00to01;2021-W27;14;14;124213
00to01;2021-W28;7;7;124282.571428571
00to01;2021-W29;10;10;124297.571428571
00to01;2021-W30;15;15;124355.857142857
00to01;2021-W31;13;13;124292.428571429
00to01;2021-W32;8;8;124369.571428571
00to01;2021-W33;10;10;124402.285714286
00to01;2021-W34;9;9;124397.428571429
00to01;2021-W35;6;6;124376
00to01;2021-W36;10;10;124388.857142857
00to01;2021-W37;10;10;124352.285714286
00to01;2021-W38;13;13;124314.571428571
00to01;2021-W39;11;11;124298.428571429
00to01;2021-W40;10;10;124315.428571429
00to01;2021-W41;10;10;124439.714285714
00to01;2021-W42;8;8;124522.428571429
00to01;2021-W43;9;9;124597
00to01;2021-W44;16;16;124652.142857143
00to01;2021-W45;8;8;124731.571428571
00to01;2021-W46;11;11;124783.857142857
00to01;2021-W47;15;15;124843
00to01;2021-W48;10;10;124894.857142857
00to01;2021-W49;12;12;124940.857142857
00to01;2021-W50;8;8;125011.571428571
00to01;2021-W51;8;8;125107.857142857
00to01;2021-W52;14;14;125177.571428571
00to01;2022-W01;14;14;125166.714285714
00to01;2022-W02;12;12;125104
00to01;2022-W03;8;8;125129.142857143
00to01;2022-W04;12;12;125195
00to01;2022-W05;12;12;125248.428571429
00to01;2022-W06;11;11;125199.857142857
00to01;2022-W07;6;6;125195.142857143
00to01;2022-W08;6;6;125176.428571429
00to01;2022-W09;11;11;125155.285714286
00to01;2022-W10;8;8;125107.142857143
00to01;2022-W11;6;6;125096.285714286
00to01;2022-W12;7;7;125118.428571429
00to01;2022-W13;8;8;125146.571428571
00to01;2022-W14;9;9;125177
00to01;2022-W15;9;9;125194.714285714
00to01;2022-W16;6;6;125070.571428571
00to01;2022-W17;7;7;125098.428571429
00to01;2022-W18;13;13;125144.285714286
00to01;2022-W19;8;8;125169.285714286
00to01;2022-W20;8;8;125171
00to01;2022-W21;11;11;125254.142857143
